Texto fonte - inglês,Tradução - português,Subprojecto
html_lang_attribute,pt-PT,dev
ltr [text direction],ltr,dev
number_format_thousands_sep,.,dev
number_format_decimal_point,",",dev
"This widget may have contained code that may work better in the new &#8220;Custom HTML&#8221; widget. If you haven&#8217;t yet, how about trying that widget instead?",Este widget poderá ter contido código que funciona melhor no novo widget de &#8220;HTML personalizado&#8221;. Que tal experimentar o novo widget? ,dev
"Hey there, looks like you just pasted HTML into the &#8220;Visual&#8221; tab of the Text widget. You may want to paste your code into the &#8220;Text&#8221; tab instead. Alternately, try out the new &#8220;Custom HTML&#8221; widget!","Olá, parece que colou HTML no separador &#8220;Visual&#8221; do widget de texto. Talvez seja melhor colar esse código no separador &#8220;Texto&#8221;. Em alternativa, experimente o novo widget de &#8220;HTML personalizado&#8221;!",dev
Did you just paste HTML?,Colou HTML?,dev
"Hey, did you hear we have a &#8220;Custom HTML&#8221; widget now? You can find it by scanning the list of available widgets on this screen. Check it out to add some custom code to your site!","Olá, sabe que existe um novo widget de &#8220;HTML personalizado&#8221;? Pode encontrá-lo na lista de widgets disponíveis neste ecrã. Experimente-o e adicione código personalizado ao seu site!",dev
"Hey, did you hear we have a &#8220;Custom HTML&#8221; widget now? You can find it by pressing the &#8220;<a class=""add-widget"" href=""#"">Add a Widget</a>&#8221; button and searching for &#8220;HTML&#8221;. Check it out to add some custom code to your site!","Olá, sabe que existe um novo widget de &#8220;HTML personalizado&#8221;? Pode encontrá-lo ao clicar no botão &#8220;<a class=""add-widget"" href=""#"">Adicionar widget</a>&#8221; e pesquisar por &#8220;HTML&#8221;. Experimente-o e adicione código personalizado ao seu site!",dev
New Custom HTML Widget,Novo widget de HTML personalizado,dev
This widget may contain code that may work better in the new &#8220;Custom HTML&#8221; widget. How about trying that widget instead?,Este widget poderá conter código que funciona melhor no novo widget de &#8220;HTML personalizado&#8221;. Que tal experimentar o novo widget?,dev
Arbitrary text.,Texto arbitrário.,dev
"Some HTML tags are not permitted, including:","Alguns elementos de HTML não são permitidos, incluindo:",dev
Custom HTML,HTML personalizado,dev
Arbitrary HTML code.,Código HTML arbitrário.,dev
Show tag counts,Mostrar contagens de etiquetas,dev
"%s item
%s items","%s item
%s itens",dev
Add Media [label for button in the media widget],Adicionar multimédia,dev
Add Video [label for button in the video widget],Adicionar vídeo,dev
Add Image [label for button in the image widget],Adicionar imagem,dev
Add Audio [label for button in the audio widget],Adicionar áudio,dev
(no author),(sem autor),dev
City updated. Listing events near %s.,Cidade actualizada. A mostrar lista de eventos perto de %s.,dev
We couldn&#8217;t locate %s. Please try another nearby city. For example: Kansas City; Springfield; Portland.,"Não foi possível localizar %s. Por favor, tente outra cidade perto de si. Por exemplo: Lisboa; Porto; Faro.",dev
Attend an upcoming event near you.,Participe num evento perto de si.,dev
An error occurred. Please try again.,"Ocorreu um erro. Por favor, tente de novo.",dev
Enter your closest city to find nearby events.,Indique a cidade mais próxima para encontrar futuros eventos perto de si.,dev
None [no captions/subtitles],Sem legendas,dev
"To change or disable registration go to your <a href=""%s"">Options page</a>.","Para alterar ou desactivar registos, vá à sua <a href=""%s"">página de opções</a>.",dev
The network currently allows both site and user registrations.,"Neste momento, a rede permite registos de sites e de utilizadores.",dev
The network currently allows user registrations.,"Neste momento, a rede permite registos de utilizadores.",dev
The network currently allows site registrations.,"Neste momento, a rede permite registos de sites.",dev
The network currently disallows registrations.,"Neste momento, a rede não permite registos.",dev
Greetings Network Administrator!,Bem-vindo administrador da rede!,dev
Title for the widget,Título do widget,dev
URL to the media file,URL do ficheiro multimédia,dev
Attachment post ID,ID do anexo,dev
Looks like this isn&#8217;t the correct kind of file. Please link to an appropriate file instead.,Parece que este não é um tipo de ficheiro adequado. Por favor faça a ligação para um tipo de ficheiro apropriado.,dev
Media Widget,Widget de multimédia,dev
"Media Widget (%d)
Media Widget (%d)","Widget de multimédia (%d)
Widgets de multimédia (%d)",dev
"We can&#8217;t find that file. Check your <a href=""%s"">media library</a> and make sure it wasn&#8217;t deleted.","Não é possível encontrar esse ficheiro. Verifique a sua <a href=""%s"">biblioteca multimédia</a> e certifique-se de que não foi eliminado.",dev
Add to Widget,Adicionar ao widget,dev
Edit Media [label for button in the media widget; should preferably not be longer than ~13 characters long],Editar multimédia,dev
Replace Media [label for button in the media widget; should preferably not be longer than ~13 characters long],Substituir multimédia,dev
No media selected,Nenhum item multimédia seleccionado,dev
A media item.,Um item multimédia.,dev
URL to the %s video source file,URL do ficheiro de vídeo %s,dev
"Sorry, we can&#8217;t display the video file type selected. Please select a supported video file (%1$s) or stream (YouTube or Vimeo) instead.","Desculpe, não é possível mostrar o tipo de ficheiro de vídeo seleccionado. Por favor, seleccione um ficheiro de vídeo suportado (%1$s) ou URL (YouTube ou Vimeo) em alternativa.",dev
Video Widget,Widget de vídeo,dev
"Video Widget (%d)
Video Widget (%d)","Widget de vídeo (%d)
Widgets de vídeo (%d)",dev
"We can&#8217;t find that video. Check your <a href=""%s"">media library</a> and make sure it wasn&#8217;t deleted.","Não é possível encontrar esse vídeo. Verifique a sua <a href=""%s"">biblioteca multimédia</a> e certifique-se de que não foi eliminado.",dev
Edit Video [label for button in the video widget; should preferably not be longer than ~13 characters long],Editar vídeo,dev
Replace Video [label for button in the video widget; should preferably not be longer than ~13 characters long],Substituir vídeo,dev
"Displays a video from the media library or from YouTube, Vimeo, or another provider.","Mostra um vídeo da biblioteca multimédia, do YouTube, do Vimeo ou de outro fornecedor.",dev
Current image: %s,Imagem actual: %s,dev
Image Widget,Widget de imagem,dev
"Image Widget (%d)
Image Widget (%d)","Widget de imagem (%d)
Widgets de imagem (%d)",dev
"We can&#8217;t find that image. Check your <a href=""%s"">media library</a> and make sure it wasn&#8217;t deleted.","Não é possível encontrar essa imagem. Verifique a sua <a href=""%s"">biblioteca multimédia</a> e certifique-se de que não foi eliminada.",dev
Edit Image [label for button in the image widget; should preferably not be longer than ~13 characters long],Editar imagem,dev
Replace Image [label for button in the image widget; should preferably not be longer than ~13 characters long],Substituir imagem,dev
Displays an image.,Mostra uma imagem.,dev
Unable to preview media due to an unknown error.,Não é possível pré-visualizar item multimédia devido a um erro desconhecido.,dev
URL to the %s audio source file,URL do ficheiro de áudio %s,dev
Looks like this isn&#8217;t the correct kind of file. Please link to an audio file instead.,Parece que este não é um tipo de ficheiro adequado. Por favor faça a ligação para um ficheiro de áudio.,dev
Audio Widget,Widget de áudio,dev
"Audio Widget (%d)
Audio Widget (%d)","Widget de áudio (%d)
Widgets de áudio (%d)",dev
"We can&#8217;t find that audio file. Check your <a href=""%s"">media library</a> and make sure it wasn&#8217;t deleted.","Não é possível encontrar esse ficheiro de áudio. Verifique a sua <a href=""%s"">biblioteca multimédia</a> e certifique-se de que não foi eliminado.",dev
Edit Audio [label for button in the audio widget; should preferably not be longer than ~13 characters long],Editar áudio,dev
Replace Audio [label for button in the audio widget; should preferably not be longer than ~13 characters long],Substituir áudio,dev
No audio selected,Nenhum áudio seleccionado,dev
Displays an audio player.,Mostra um reprodutor de áudio.,dev
Deleted! [theme],Eliminado!,dev
Deleted! [plugin],Eliminado!,dev
Installed! [theme],Instalado!,dev
Installed! [plugin],Instalado!,dev
Install %s now [plugin],Instalar %s agora,dev
%s update failed [plugin],Falhou ao actualizar %s,dev
%s updated! [plugin],%s actualizado!,dev
Updating %s... [plugin],A actualizar %s...,dev
Update %s now [plugin],Actualizar %s agora,dev
Updated! [theme],Actualizado!,dev
Updated! [plugin],Actualizado!,dev
%1$s must be less than or equal to %2$d,%1$s tem de ser menor ou igual a %2$d,dev
%1$s must be less than %2$d,%1$s tem de ser menor que %2$d,dev
%1$s must be greater than or equal to %2$d,%1$s tem de ser maior ou igual a %2$d,dev
%1$s must be greater than %2$d,%1$s tem de ser maior que %2$d,dev
Limit result set to users with one or more specific slugs.,Limita conjunto de resultados a utilizadores com uma ou mais slugs específicas.,dev
Limit result set to terms with one or more specific slugs.,Limita conjunto de resultados a termos com uma ou mais slugs específicas.,dev
The page number requested is larger than the number of pages available.,O número da página solicitada é superior ao número total de páginas disponíveis.,dev
You need to define an include parameter to order by include.,"Deverá definir um parâmetro ""include"" para poder ordenar por ""include"".",dev
"All features, supported by the post type.","Todas as funcionalidades, suportadas pelo tipo de conteúdo.",dev
The password for the parent post of the comment (if the post is password protected).,A senha para o conteúdo a que o comentário se refere (se o conteúdo estiver protegido por senha).,dev
Use as featured image [page],Usar como imagem de destaque,dev
Use as featured image [post],Usar como imagem de destaque,dev
Remove featured image [page],Remover imagem de destaque,dev
Remove featured image [post],Remover imagem de destaque,dev
Set featured image [page],Definir imagem de destaque,dev
Set featured image [post],Definir imagem de destaque,dev
Featured Image [page],Imagem de destaque,dev
Featured Image [post],Imagem de destaque,dev
%1$s is deprecated. The callback from %2$s is used instead.,O callback %1$s está obsoleto. Em alternativa é utilizado o callback %2$s.,dev
"You are about to permanently delete these items from your site. 
This action cannot be undone. 
'Cancel' to stop, 'OK' to delete.","Está prestes a eliminar definitivamente estes itens do seu site. 
Não será possível voltar atrás. 
'Cancelar' para parar, 'OK' para eliminar.",dev
"You are about to permanently delete this item from your site. 
This action cannot be undone. 
'Cancel' to stop, 'OK' to delete.","Está prestes a eliminar definitivamente este item do seu site. 
Não poderá voltar atrás. 
'Cancelar' para parar, 'OK' para eliminar.",dev
Suggested image dimensions: %1$s by %2$s pixels.,Dimensões de imagem sugeridas: %1$s por %2$s píxeis.,dev
"Sorry, this file type is not permitted for security reasons.","Desculpe, este tipo de ficheiro não é permitido por razões de segurança.",dev
"There is an extra %1$s, indicating an end to a comment. Be sure that there is an opening %2$s for every closing %1$s.","Há um %1$s a mais, o que indica o fim de um comentário. Certifique-se de que coloca um %2$s inicial para cada %1$s final.",dev
"There is %1$s unclosed code comment. Close each comment with %2$s.
There are %1$s unclosed code comments. Close each comment with %2$s.","Há %1$s comentário ao código não finalizado. Finalize cada comentário com %2$s.
Há %1$s comentários ao código não finalizados. Finalize cada comentário com %2$s.",dev
Your double quotes %1$s are uneven. Make sure there is a closing %1$s for every opening %1$s.,Tem aspas %1$s mal colocadas. Verifique se cada %1$s aberta tem a correspondente %1$s a fechar.,dev
Your parentheses %1$s are imbalanced. Make sure there is a closing %2$s for every opening %3$s.,Tem parênteses %1$s mal colocados. Verifique se cada %3$s aberto tem o correspondente %2$s a fechar.,dev
Your brackets %1$s are imbalanced. Make sure there is a closing %2$s for every opening %3$s.,Tem parênteses rectos %1$s mal colocados. Verifique se cada %3$s aberto tem o correspondente %2$s a fechar.,dev
Your curly brackets %1$s are imbalanced. Make sure there is a closing %2$s for every opening %3$s.,Tem chavetas %1$s mal colocadas. Verifique se cada %3$s aberta tem a correspondente %2$s a fechar. ,dev
"Sorry, comments are not allowed for this item.","Desculpe, não são permitidos comentários neste item.",dev
"Sorry, you are not allowed to make proxied oEmbed requests.",Não tem permissão para executar pedidos oEmbed através de proxy.,dev
Whether to perform an oEmbed discovery request for non-whitelisted providers.,Definir se executa um pedido de pesquisa oEmbed a fornecedores fora da lista de serviços autorizados.,dev
The maximum height of the embed frame in pixels.,A altura máxima em píxeis da janela incorporada.,dev
The maximum width of the embed frame in pixels.,A largura máxima em píxeis da janela incorporada.,dev
The oEmbed format to use.,O formato oEmbed a utilizar.,dev
The URL of the resource for which to fetch oEmbed data.,O URL do recurso para obter os dados oEmbed.,dev
B [Short for blue in RGB],B,dev
G [Short for green in RGB],G,dev
R [Short for red in RGB],R,dev
Insert/edit media,Inserir/editar multimédia,dev
Insert/edit code sample,Inserir/editar amostra de código,dev
Table of Contents,Índice,dev
Date/time,Data/hora,dev
Id [Id for link anchor (TinyMCE)],ID,dev
"Id should start with a letter, followed only by letters, numbers, dashes, dots, colons or underscores.","O ID deverá começar por uma letra, seguida apenas por letras, algarismos, traços, pontos, dois pontos ou underscores.",dev
You can navigate to other pages on your site while using the Customizer to view and edit the widgets displayed on those pages.,Pode navegar para outras páginas no seu site enquanto usa o Personalizador para ver e editar os widgets mostrados nessas páginas.,dev
"Your theme has %s widget area, but this particular page doesn&#8217;t display it.
Your theme has %s widget areas, but this particular page doesn&#8217;t display them.","O seu tema tem %s outra área de widgets, mas esta página em particular não a apresenta.
O seu tema tem %s outras áreas de widgets, mas esta página em particular não as apresenta.",dev
"Your theme has 1 widget area, but this particular page doesn&#8217;t display it.","O seu tema tem uma área de widgets, mas esta página em particular não a apresenta.",dev
"Your theme has %s other widget area, but this particular page doesn&#8217;t display it.
Your theme has %s other widget areas, but this particular page doesn&#8217;t display them.","O seu tema tem %s outra área de widgets, mas esta página em particular não a apresenta.
O seu tema tem %s outras áreas de widgets, mas esta página em particular não as apresenta.",dev
"Your theme has 1 other widget area, but this particular page doesn&#8217;t display it.","O seu tema tem uma outra área de widgets, mas esta página em particular não a apresenta.",dev
"This address is used for admin purposes, like new user notification.","Este endereço é usado para fins administrativos, tais como notificações de novos utilizadores.",dev
Unique identifier for the term.,Identificador único para o termo.,dev
"Required to be true, as terms do not support trashing.","Obrigatório ser verdadeiro, porque os termos não têm suporte para mover para o lixo.",dev
An alphanumeric identifier for the taxonomy.,Um identificador alfanumérico para a taxonomia.,dev
"Required to be true, as revisions do not support trashing.","Obrigatório ser verdadeiro, porque as revisões não têm suporte para mover para o lixo.",dev
REST base route for the post type.,Base da rota REST para o tipo de conteúdo.,dev
An alphanumeric identifier for the post type.,Um identificador alfanumérico para o tipo de conteúdo.,dev
Human-readable labels for the post type for various contexts.,Legendas legíveis por humanos para o tipo de conteúdo em vários contextos.,dev
Whether or not the post type should have children.,Se o tipo de conteúdo poderá ou não ter dependentes.,dev
A human-readable description of the post type.,Uma descrição legível por humanos para o tipo de conteúdo.,dev
All capabilities used by the post type.,Todas as capacidades usadas pelo tipo de conteúdo.,dev
An alphanumeric identifier for the status.,Um identificador alfanumérico para o estado.,dev
Limit response to comments published before a given ISO8601 compliant date.,Limita resposta a comentários publicados até uma data especificada em ISO8601.,dev
Limit response to comments published after a given ISO8601 compliant date.,Limita resposta a comentários publicados depois de uma data especificada em ISO8601.,dev
Avatar URLs for the user.,URL dos avatars para o utilizador.,dev
Roles assigned to the user.,Papéis atribuídos ao utilizador.,dev
The nickname for the user.,A alcunha do utilizador.,dev
Locale for the user.,Código locale do utilizador.,dev
Author URL of the user.,URL de autor para o utilizador.,dev
Description of the user.,Descrição do utilizador.,dev
URL of the user.,URL do utilizador.,dev
Last name for the user.,Apelido do utilizador.,dev
First name for the user.,Nome do utilizador.,dev
Display name for the user.,Nome a mostrar para o utilizador.,dev
Login name for the user.,Nome de utilizador para início de sessão.,dev
The user cannot be deleted.,Não é possível eliminar o utilizador.,dev
Error creating new user.,Erro ao criar novo utilizador.,dev
The parent term ID.,O ID do termo superior.,dev
HTML title for the term.,Título HTML para o termo.,dev
URL of the term.,URL do termo.,dev
The term cannot be deleted.,Não é possível eliminar o termo.,dev
"Cannot set parent term, taxonomy is not hierarchical.","Não é possível definir termo superior, a taxonomia não é hierárquica.",dev
Term does not exist.,O termo não existe.,dev
The title for the taxonomy.,O título da taxonomia.,dev
Types associated with the taxonomy.,Tipos associados a esta taxonomia.,dev
The title for the post type.,O título do tipo de conteúdo.,dev
Cannot view post type.,Não é possível ver o tipo de conteúdo.,dev
The title for the status.,O título do estado.,dev
Cannot view status.,Não é possível ver o estado.,dev
Invalid status.,Estado inválido.,dev
URL to the original attachment file.,URL do ficheiro de anexo original.,dev
The attachment MIME type.,Tipo MIME do anexo.,dev
Attachment type.,Tipo de anexo.,dev
The attachment description.,A descrição do anexo.,dev
The attachment caption.,A legenda do anexo.,dev
Default post category.,Categoria por omissão dos conteúdos.,dev
Site tagline.,Descrição do site.,dev
By %s [theme author],Por %s,dev
[%1$s] Activate %2$s [New user notification email subject],[%1$s] Activar %2$s,dev
[%1$s] Activate %2$s [New site notification email subject],[%1$s] Activar %2$s,dev
RSS Error:,Erro RSS:,dev
Cannot create a comment with that type.,Não é possível criar um comentário desse tipo.,dev
Invalid slug.,URL inválido.,dev
Invalid email address.,Endereço de email inválido.,dev
Invalid comment content.,Conteúdo de comentário inválido.,dev
Invalid JSONP callback function.,Função de callback JSONP inválida.,dev
Invalid page template.,Modelo de página inválido.,dev
Invalid date.,Data inválida.,dev
Video is playing.,A reproduzir vídeo.,dev
Video is paused.,Vídeo em pausa.,dev
Archives [Theme starter content],Arquivo,dev
"This is an example of a homepage section. Homepage sections can be any page other than the homepage itself, including the page that shows your latest blog posts. [Theme starter content]","Este é um exemplo de uma secção da página inicial. As secções da página inicial podem ser qualquer página que não a inicial, incluindo a página que mostra os últimos artigos do seu site.",dev
News [Theme starter content],Notícias,dev
"This is a page with some basic contact information, such as an address and phone number. You might also try a plugin to add a contact form. [Theme starter content]","Esta é uma página com algumas informações básicas de contacto, tais como uma morada e o número de telefone. Também poderá usar um plugin para adicionar um formulário de contacto.",dev
You might be an artist who would like to introduce yourself and your work here or maybe you&rsquo;re a business with a mission to describe. [Theme starter content],"Poderá ser um artista que pretende apresentar-se e mostrar o seu trabalho, ou poderá ser uma empresa com uma missão para descrever.",dev
"Welcome to your site! This is your homepage, which is what most visitors will see when they come to your site for the first time. [Theme starter content]","Bem-vindo ao seu site! Esta é a sua página inicial, que é o que a maioria dos utilizadores irão ver quando visitarem o seu site pela primeira vez.",dev
Recent Posts [Theme starter content],Conteúdos recentes,dev
Recent Comments [Theme starter content],Comentários recentes,dev
Meta [Theme starter content],Meta,dev
Calendar [Theme starter content],Calendário,dev
"Sorry, you are not allowed to change the comment type.",Não tem permissão para alterar o tipo de comentário.,dev
"Sorry, you are not allowed to give users that role.",Não tem permissão para atribuir esse papel aos utilizadores.,dev
"Sorry, you are not allowed to order users by this parameter.",Não tem permissão para ordenar utilizadores por este parâmetro.,dev
"Sorry, you are not allowed to filter users by role.",Não tem permissão para filtrar utilizadores por papel.,dev
"Sorry, you are not allowed to delete this comment.",Não tem permissão para eliminar este comentário.,dev
"Sorry, you are not allowed to create new terms.",Não tem permissão para criar novos termos.,dev
"Sorry, you are not allowed to view revisions of this post.",Não tem permissão para ver revisões deste conteúdo.,dev
"Sorry, you are not allowed to create a comment on this post.",Não tem permissão para criar comentários neste conteúdo.,dev
"Sorry, you are not allowed to create this comment without a post.",Não tem permissão para criar este comentário sem um conteúdo associado.,dev
"Sorry, you are not allowed to edit '%s' for comments.",Não tem permissão para editar '%s' de comentários.,dev
"Sorry, you are not allowed to read the post for this comment.",Não tem permissão para ler o conteúdo a que este comentário está associado.,dev
"Sorry, you are not allowed to read this comment.",Não tem permissão para ler este comentário.,dev
"Sorry, you are not allowed to read comments without a post.",Não tem permissão para ler comentários sem conteúdo associado.,dev
YouTube [Theme starter content],YouTube,dev
Pinterest [Theme starter content],Pinterest,dev
LinkedIn [Theme starter content],LinkedIn,dev
GitHub [Theme starter content],GitHub,dev
Foursquare [Theme starter content],Foursquare,dev
This may be a good place to introduce yourself and your site or include some credits. [Theme starter content],"Este pode ser o local ideal para se apresentar e ao seu site, ou para incluir alguns créditos.",dev
About This Site [Theme starter content],Sobre este site,dev
"Sorry, you are not allowed to edit the %s custom field.",Não tem permissão para editar o campo personalizado %s.,dev
"Sorry, you are not allowed to assign the provided terms.",Não tem permissão para atribuir os termos indicados.,dev
"Sorry, you are not allowed to make posts sticky.",Não tem permissão para fixar conteúdos.,dev
Reassign the deleted user's posts and links to this user ID.,Atribuir de novo os conteúdos e ligações do utilizador eliminado ao ID deste utilizador.,dev
This theme doesn't support video headers on this page. Navigate to the front page or another page that supports video headers.,Este tema não suporta cabeçalhos de vídeo nesta página. Navegue para a página inicial ou para outra página que suporte cabeçalhos de vídeo.,dev
Select Video,Seleccionar vídeo,dev
Change Video,Alterar vídeo,dev
No video selected,Nenhum vídeo seleccionado,dev
